Feature_Number,Avg_NDCG@10,Std_NDCG@10,Best_NDCG@10,Avg_MAP@10,Std_MAP@10,Best_MAP@10
1,0.365285139,0.012543191,0.386102843,0.171246842,0.062016241,0.278037389
2,0.391942765,0.016137785,0.419136401,0.147478238,0.017121039,0.175463277
3,0.394066466,0.021270581,0.430065653,0.149663029,0.018302204,0.168966619
4,0.415569643,0.033933635,0.455049302,0.135491467,0.005392951,0.14394034
5,0.412095821,0.021019831,0.446586886,0.128040317,0.00543291,0.135618482
6,0.413260713,0.021767406,0.450766369,0.134271901,0.005382722,0.140296084
7,0.415572576,0.021649122,0.452283149,0.127434932,0.004175968,0.134164824
8,0.420265861,0.020310831,0.454592727,0.132644215,0.006043875,0.142951177
9,0.414531051,0.014525989,0.438516984,0.129311431,0.008343174,0.142928327
10,0.442016849,0.016547172,0.456789087,0.138913704,0.0044733,0.144426502
11,0.448971775,0.017248875,0.464573865,0.136885145,0.003271431,0.140891206
12,0.424389783,0.022771739,0.461655717,0.134559494,0.012509736,0.154684224
13,0.447349655,0.014985936,0.457922841,0.136416693,0.004887232,0.141324164
14,0.460995979,0.002594432,0.464751524,0.13747116,0.003666469,0.141535302
15,0.440072701,0.022989445,0.465634574,0.131467648,0.005459243,0.137472747
16,0.452375882,0.016772389,0.465123017,0.134165375,0.004256316,0.137683395
17,0.431489796,0.014347125,0.455495353,0.125397559,0.002199207,0.129190681
18,0.430719429,0.021026008,0.466311986,0.129019054,0.004532928,0.136401943
19,0.464137648,0.002158908,0.467677273,0.135035115,0.002917694,0.137262053
20,0.451863857,0.016613156,0.46353517,0.136328815,0.004688132,0.141564052
21,0.443634892,0.021311091,0.469783457,0.132400653,0.005413998,0.140617381
22,0.462775046,0.002963118,0.465030646,0.135928596,0.001927961,0.138080457
23,0.456215737,0.014147891,0.464937642,0.135929113,0.003685738,0.140303553
24,0.45293866,0.017258033,0.464144472,0.139695658,0.006504882,0.145485371
25,0.464678022,0.002768386,0.467886458,0.136735198,0.002560925,0.141129622
26,0.45060339,0.018344932,0.46565747,0.133759662,0.00493068,0.139453553
27,0.456677149,0.019900973,0.471548494,0.13492676,0.005863673,0.140574971
28,0.460882669,0.005901328,0.469239608,0.134331056,0.002572381,0.138697062
29,0.46444744,0.003192606,0.469189085,0.135080974,0.000384454,0.135703411
30,0.463891891,0.001771819,0.465827331,0.134112561,0.001631324,0.13557263
31,0.467353226,0.003213646,0.471435409,0.134500476,0.002494704,0.138001097
32,0.458351915,0.015023644,0.467994338,0.133405607,0.003969198,0.137502426
33,0.466556464,0.003516373,0.471995481,0.134344991,0.002813197,0.13909584
34,0.469491402,0.0010811,0.470643387,0.138243247,0.00060895,0.138781219
35,0.446120607,0.025030279,0.472299306,0.133120627,0.004868935,0.14026348
36,0.458463548,0.016868466,0.471082356,0.13543513,0.004555719,0.140788719
37,0.468550333,0.000856283,0.469645595,0.140044209,0.001889639,0.141608891
38,0.469740906,0.001234944,0.470828431,0.136457402,0.001690676,0.138336502
39,0.469361454,0.002387403,0.471777235,0.135932507,0.001805576,0.138936142
40,0.468918198,0.002474588,0.471878007,0.138533144,0.000679129,0.13959806
41,0.469470324,0.00286778,0.472356532,0.137650437,0.002092244,0.141239334
42,0.470675055,0.003223877,0.473792538,0.138314688,0.001840228,0.140854281
43,0.469413569,0.001964603,0.472034367,0.137914302,0.002959255,0.141747594
44,0.469720545,0.002414879,0.472613816,0.137828419,0.003130046,0.140023885
45,0.471305571,0.000964249,0.472870535,0.138033729,0.001272988,0.139683186
46,0.468721582,0.001787424,0.471807027,0.137078615,0.001216138,0.13839139
47,0.47142856,0.001740087,0.473396068,0.136708137,0.00341691,0.140550524
48,0.467959891,0.002762489,0.470480781,0.137916253,0.003155353,0.142663628
49,0.472364422,0.001202207,0.473623466,0.137768721,0.00136281,0.139401505
50,0.471127577,0.001457995,0.472791566,0.137601586,0.001149517,0.138811994
51,0.47030446,0.002604764,0.472967521,0.13782967,0.000901152,0.138981672
52,0.470607688,0.002962606,0.473905356,0.136202703,0.001563719,0.138059309
53,0.471728958,0.002818738,0.474126399,0.138423147,0.000866014,0.139234584
54,0.469811214,0.003372465,0.473940604,0.137881346,0.000769923,0.138839936
55,0.468289688,0.001511731,0.470398868,0.136386214,0.000954399,0.137843089
56,0.47033337,0.000737874,0.471509972,0.136533338,0.001997252,0.139431368
57,0.471782578,0.000874733,0.472583437,0.137370084,0.001870788,0.140268457
58,0.469428933,0.003157769,0.471829336,0.136980225,0.002533359,0.139999383
59,0.471016164,0.002307412,0.474991409,0.136931177,0.000809772,0.138126859
60,0.471026502,0.001145508,0.47180848,0.136869837,0.001153816,0.138815234
61,0.470141923,0.000728422,0.471092429,0.136998995,0.001008046,0.138295765
62,0.471131015,0.001942358,0.473940812,0.136079516,0.000918723,0.136839606
63,0.472078365,0.001366989,0.474438116,0.138025011,0.001458063,0.140440779
64,0.468938986,0.002009738,0.470968447,0.136038752,0.001388576,0.137728658
65,0.47169933,0.002910918,0.47448527,0.136919551,0.001530964,0.13811956
66,0.471945194,0.001935517,0.474078601,0.136722871,0.001155995,0.138614224
67,0.469927473,0.00332606,0.47498627,0.13491452,0.00212646,0.138572152
68,0.471748316,0.001685496,0.47416575,0.138735156,0.002011682,0.142156502
69,0.470843024,0.00023332,0.47119586,0.137544553,0.000342011,0.13792419
70,0.470267281,0.001606013,0.472572483,0.136322132,0.000851601,0.137071839
71,0.470092957,0.002207077,0.473492099,0.137024228,0.000664594,0.138038025
72,0.470124792,0.002188155,0.473744229,0.136999119,0.001405822,0.138701757
73,0.470497645,0.001149372,0.472197046,0.136819349,0.001807762,0.138911371
74,0.470858441,0.000927909,0.471666043,0.137052462,0.000542555,0.137959081
75,0.472113489,0.000797655,0.473332751,0.136709113,0.000235488,0.137116346
76,0.471797872,0.001154841,0.472718299,0.137574607,0.000679098,0.138737804
77,0.472350443,0.001467221,0.473653395,0.137514527,0.000626835,0.138417638
78,0.47127126,0.001774745,0.473872772,0.137417272,0.001577425,0.13992205
79,0.470467123,0.001294404,0.472373863,0.136730387,0.001485511,0.13929368
80,0.471699912,0.002024136,0.474650271,0.13569148,0.000966552,0.13736267
81,0.469847044,0.002094902,0.471868067,0.13635964,0.001700122,0.13794453
82,0.469676079,0.001060891,0.47119808,0.136025647,0.000926151,0.137094808
83,0.469299337,0.001442016,0.471511956,0.136708175,0.001121034,0.138487987
84,0.472509858,0.001077771,0.473592511,0.136741437,0.000674693,0.137532817
85,0.471139701,0.000793092,0.472158924,0.137304636,0.000935213,0.138907184
86,0.470772076,0.001423888,0.47321833,0.137056074,0.000831093,0.138082979
87,0.471250995,0.001102185,0.472435961,0.136008055,0.0012475,0.136948199
88,0.470482157,0.001853942,0.472574677,0.136296748,0.000791488,0.137282722
89,0.470502882,0.001775664,0.472998672,0.137099016,0.001026579,0.138111646
90,0.471209196,0.001938506,0.472569155,0.13632225,0.000850081,0.137261492
91,0.471881227,0.00061111,0.472639576,0.136538913,0.000433095,0.13713137
92,0.471183362,0.001184024,0.472486938,0.136472112,0.00049401,0.136961423
93,0.470778003,0.001300317,0.472627944,0.136506219,0.001176097,0.138488512
94,0.471159643,0.000841711,0.472457159,0.136790341,0.000717468,0.137774601
95,0.470027444,0.00225563,0.473754374,0.137394577,0.00223556,0.140943789
96,0.469687085,0.002045616,0.473089829,0.136687394,0.001251737,0.138711949
97,0.471461231,0.001174803,0.472467608,0.136306966,0.000480412,0.13690663
98,0.470129286,0.001211372,0.471345418,0.137031904,0.001578856,0.138778912
99,0.470252057,0.000815961,0.471047627,0.136459427,0.000810024,0.13784271
100,0.47061808,0.001543706,0.472334342,0.135876355,0.000520316,0.136417231
101,0.470901063,0.002001792,0.473878629,0.136070297,0.000372665,0.136461625
102,0.471189328,0.000493096,0.471648122,0.13650342,0.000926208,0.138030009
103,0.471634449,0.000831382,0.473043517,0.136899931,0.000772841,0.137791184
104,0.470808795,0.001267126,0.472372161,0.135925591,0.000424643,0.136500404
105,0.469373996,0.001411906,0.471209081,0.135737312,0.000272801,0.136099885
106,0.470957122,0.000487067,0.471604292,0.136661416,0.000465037,0.137366054
107,0.470637463,0.001474693,0.473030437,0.136014569,0.000473947,0.136724746
108,0.469000638,0.001837476,0.472159845,0.136228818,0.000474818,0.136889989
109,0.470240421,0.001643467,0.471373408,0.136565076,0.000608303,0.13741355
110,0.469090711,0.000829472,0.469980667,0.13532269,0.000791621,0.136121547
111,0.469959195,0.001124437,0.47183637,0.136586972,0.000526366,0.137094419
112,0.469980829,0.001262191,0.471360711,0.136280331,0.000223485,0.136630719
113,0.470234733,0.000519006,0.471130946,0.136275418,0.001383848,0.138659073
114,0.469387167,0.001506516,0.47108988,0.136452624,0.000618602,0.137420541
115,0.470258338,0.001048316,0.471504355,0.136349271,0.001000546,0.137707345
116,0.47018232,0.001146187,0.471297185,0.135892646,0.000533509,0.136542049
117,0.469767801,0.000964037,0.470691992,0.136150276,0.000683566,0.13733164
118,0.468453169,0.001262391,0.469903107,0.135929997,0.000530483,0.136537727
119,0.469642601,0.000580809,0.47023151,0.135836158,0.000775179,0.136558486
120,0.468687046,0.0009706,0.470319515,0.135220989,0.000564262,0.135906626
121,0.469611058,0.000632149,0.470381365,0.136028693,0.000404463,0.136595039
122,0.469492161,0.000938331,0.470583658,0.136102061,0.000743044,0.13688812
123,0.468588761,0.001632772,0.471291985,0.136211701,0.000686848,0.137184886
124,0.469505577,0.001134836,0.470918091,0.136298812,0.000750725,0.137551756
125,0.467951888,7.02E-05,0.468052007,0.135983665,0.000195281,0.136140055
126,0.46881935,0.001317553,0.471071596,0.136313856,0.00015625,0.136572281
127,0.468800917,0.000920142,0.469800792,0.136102738,0.000124136,0.136234802
128,0.469133634,0.001269922,0.470910743,0.135984609,0.000110981,0.136139809
129,0.46817798,0.000249135,0.468479907,0.135889453,0.000471518,0.136309365
130,0.468522021,0.000848217,0.469939794,0.136024652,0.000311404,0.136279875
131,0.468161344,0.000459864,0.468953137,0.135787398,0.000552835,0.136154042
132,0.46842653,0.0008744,0.469939794,0.135915938,0.000250243,0.136141541
133,0.46842561,0.000873285,0.469936277,0.135994589,0.000313783,0.13633012
134,0.468547311,0.00082993,0.469939794,0.13598304,0.000299175,0.136279875
135,0.468384094,0.000898259,0.469939794,0.135982406,0.000283265,0.13615009
